Sample_Name,Phenotype,Submission_Notes,DNA_Plate_Name,Well,Elution_Vol_(ul),DNA_Conc_after_ext_ng_ul,PCR cycles,PCR_Sample_Vol_ul,Primer_ID ,ul_to_Pool
NC25_69,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,C2,100,0.30,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_31,5
NC25_70,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,D2,100,0.63,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_32,5
NC25_76,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,E2,100,0.25,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_33,5
NC25_77,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,F2,100,0.29,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_34,5
NC25_79,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,G2,100,0.42,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_35,5
NC25_81,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,H2,100,0.25,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_36,5
NC25_86,Indoor Swab ,,Jones20250430_DNA1,A3,100,0.28,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_29,20
NC25_87,Indoor Swab ,,Jones20250430_DNA1,B3,100,0.25,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_30,20
NC25_88,Indoor Swab ,,Jones20250430_DNA1,C3,100,0.27,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_31,20
NC25_89,Indoor Swab ,,Jones20250430_DNA1,D3,100,0.24,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_32,20
NC25_90,Indoor Swab ,,Jones20250430_DNA1,E3,100,0.22,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_33,20
NC25_91,Indoor Swab ,,Jones20250430_DNA1,F3,100,0.23,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_34,20
NC25_92,Indoor Swab ,,Jones20250430_DNA1,G3,100,0.30,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_35,20
NC25_93,Indoor Swab ,,Jones20250430_DNA1,H3,100,0.28,35,5,Kinnex16S_Fwd_03--Kinnex16S_Rev_36,20
NC25_94,Indoor Swab ,,Jones20250430_DNA1,A4,100,0.28,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_29,20
NC25_95,Indoor Swab ,,Jones20250430_DNA1,B4,100,0.35,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_30,20
NC25_96,Indoor Swab ,,Jones20250430_DNA1,C4,100,0.29,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_31,20
NC25_97,Indoor Swab ,,Jones20250430_DNA1,D4,100,0.45,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_32,20
NC25_98,Indoor Swab ,,Jones20250430_DNA1,E4,100,0.28,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_33,20
NC25_99,Indoor Swab ,,Jones20250430_DNA1,F4,100,0.29,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_34,20
NC25_100,Indoor Swab ,,Jones20250430_DNA1,G4,100,0.26,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_35,20
NC25_101,Indoor Swab ,,Jones20250430_DNA1,H4,100,0.22,35,5,Kinnex16S_Fwd_04--Kinnex16S_Rev_36,20
NC25_102,Indoor Swab ,,Jones20250430_DNA1,A5,100,0.30,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_29,20
NC25_103,Indoor Swab ,,Jones20250430_DNA1,B5,100,0.28,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_30,20
NC25_104,Indoor Swab ,,Jones20250430_DNA1,C5,100,0.27,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_31,20
NC25_105,Indoor Swab ,,Jones20250430_DNA1,D5,100,0.28,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_32,20
NC25_106,Indoor Swab ,,Jones20250430_DNA1,E5,100,0.27,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_33,20
NC25_107,Indoor Swab ,,Jones20250430_DNA1,F5,100,0.26,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_34,20
NC25_108,Indoor Swab ,,Jones20250430_DNA1,G5,100,0.28,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_35,20
NC25_109,Indoor Swab ,,Jones20250430_DNA1,H5,100,0.20,35,5,Kinnex16S_Fwd_05--Kinnex16S_Rev_36,20
NC25_110,Indoor Swab ,,Jones20250430_DNA1,A6,100,0.31,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_29,20
NC25_111,Indoor Swab ,,Jones20250430_DNA1,B6,100,0.29,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_30,20
NC25_112,Indoor Swab ,,Jones20250430_DNA1,C6,100,0.34,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_31,5
NC25_113,Indoor Swab ,,Jones20250430_DNA1,D6,100,1.44,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_32,5
NC25_114,Indoor Swab ,,Jones20250430_DNA1,E6,100,0.26,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_33,20
NC25_115,Indoor Swab ,,Jones20250430_DNA1,F6,100,0.85,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_34,20
NC25_116,Indoor Swab ,,Jones20250430_DNA1,G6,100,0.54,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_35,10
NC25_117,Indoor Swab ,,Jones20250430_DNA1,H6,100,1.27,35,5,Kinnex16S_Fwd_06--Kinnex16S_Rev_36,5
NC25_118,Indoor Swab ,,Jones20250430_DNA1,A7,100,1.73,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_29,2.5
NC25_119,Indoor Swab ,,Jones20250430_DNA1,B7,100,0.37,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_30,20
NC25_120,Indoor Swab ,,Jones20250430_DNA1,C7,100,1.45,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_31,2.5
NC25_121,Indoor Swab ,,Jones20250430_DNA1,D7,100,0.48,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_32,10
NC25_122,Indoor Swab ,,Jones20250430_DNA1,E7,100,0.31,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_33,20
NC25_123,Indoor Swab ,,Jones20250430_DNA1,F7,100,0.35,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_34,20
NC25_124,Indoor Swab ,,Jones20250430_DNA1,G7,100,0.31,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_35,20
NC25_125,Indoor Swab ,,Jones20250430_DNA1,H7,100,0.40,35,5,Kinnex16S_Fwd_07--Kinnex16S_Rev_36,20
NC25_126,Indoor Swab ,,Jones20250430_DNA1,A8,100,0.30,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_29,10
NC25_127,Indoor Swab ,,Jones20250430_DNA1,B8,100,5.21,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_30,20
NC25_128,Indoor Swab ,,Jones20250430_DNA1,C8,100,0.28,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_31,10
NC25_129,Indoor Swab ,,Jones20250430_DNA1,D8,100,0.35,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_32,20
NC25_130,Indoor Swab ,,Jones20250430_DNA1,E8,100,0.23,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_33,10
NC25_131,Indoor Swab ,Cloth Material Swab/Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,F8,100,0.40,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_34,5
NC25_145,Indoor Swab ,,Jones20250430_DNA1,G8,100,0.29,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_35,20
NC25_154,Indoor Swab ,,Jones20250430_DNA1,H8,100,0.22,35,5,Kinnex16S_Fwd_08--Kinnex16S_Rev_36,10
NC25_158,Indoor Swab ,,Jones20250430_DNA1,A10,100,0.35,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_29,20
NC25_167,Indoor Swab ,,Jones20250430_DNA1,B10,100,0.32,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_30,20
NC25_176,Indoor Swab ,,Jones20250430_DNA1,C10,100,0.30,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_31,20
NC25_180,Indoor Swab ,,Jones20250430_DNA1,D10,100,0.33,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_32,20
NC25_219,Air Sample,,Jones20250430_DNA1,E10,100,0.32,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_33,10
NC25_221,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,F10,100,0.33,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_34,5
NC25_220,Indoor Swab ,Plastic Folder/Documents; Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,G10,100,0.25,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_35,5
NC25_222,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,H10,100,0.26,35,5,Kinnex16S_Fwd_09--Kinnex16S_Rev_36,20
NC25_224,Vegetation-Bark ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,A9,100,0.51,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_29,10
NC25_226,Vegetation-Bark ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,B9,100,0.74,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_30,5
NC25_227,Indoor Swab ,Documents/Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,C9,100,0.32,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_31,5
NC25_228,Indoor Swab ,,Jones20250430_DNA1,D9,100,0.33,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_32,5
NC25_229,Air Sample,,Jones20250430_DNA1,E9,100,0.21,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_33,20
NC25_232,Indoor Swab ,,Jones20250430_DNA1,F9,100,0.22,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_34,20
NC25_233,Water Sample,Kitchen Sink,Jones20250430_DNA1,G9,100,0.34,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_35,5
NC25_234,Water Sample,P-trap,Jones20250430_DNA1,H9,100,0.29,35,5,Kinnex16S_Fwd_10--Kinnex16S_Rev_36,5
Con_NC25_1,,,Jones20250430_DNA1,A11,100,0.28,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_29,20
ExNeg,,,Jones20250430_DNA1,B11,100,0.18,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_30,20
PCRneg1,,,,0,,,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_32,20
PCRneg2,,,,0,,,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_33,20
PCRneg3,,,,0,,,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_34,20
PCRneg4,,,,0,,,35,5,Kinnex16S_Fwd_11--Kinnex16S_Rev_35,20
